stock_code,is_success
002860.XSHE,False
002861.XSHE,False
002862.XSHE,False
002863.XSHE,False
002864.XSHE,False
002865.XSHE,False
002866.XSHE,False
002867.XSHE,False
002868.XSHE,False
002869.XSHE,False
002870.XSHE,False
002871.XSHE,False
002872.XSHE,False
002873.XSHE,False
002875.XSHE,False
002876.XSHE,False
002877.XSHE,False
002878.XSHE,False
002879.XSHE,False
002880.XSHE,False
002881.XSHE,False
002882.XSHE,False
002883.XSHE,False
002884.XSHE,False
002885.XSHE,False
002886.XSHE,False
002887.XSHE,False
002888.XSHE,False
002889.XSHE,False
002890.XSHE,False
002891.XSHE,False
002892.XSHE,False
002893.XSHE,False
002895.XSHE,False
002896.XSHE,False
002897.XSHE,False
002898.XSHE,False
002899.XSHE,False
002900.XSHE,False
002901.XSHE,False
002902.XSHE,False
002903.XSHE,False
002905.XSHE,False
002906.XSHE,False
002907.XSHE,False
002908.XSHE,False
002909.XSHE,False
002910.XSHE,False
002911.XSHE,False
002912.XSHE,False
002913.XSHE,False
002915.XSHE,False
002916.XSHE,False
002917.XSHE,False
002918.XSHE,False
